id,username,msgtime,star,comment,effflag,storeid,segmented
712,Ruby Chen,1 週前,5,我喜歡青醬！價位也不貴，我覺得很好吃～ 餐點：5/5  |  服務：4/5  |  氣氛：5/5,0,1736,我 喜歡 青醬 ！ 價位 也 不貴 ， 我覺 得 很 好吃 ～   餐點 ： 5 / 5     |     服務 ： 4 / 5     |     氣氛 ： 5 / 5
713,KKOK Alex,2 週前,5,,0,1736,
714,幸福,2 週前,1,東西又貴又難吃 明太子海鮮義大利麵 超誇張的上面的海鮮料都是冷的 噁~~~ 炸雞150元比較好吃 明太子海鮮披薩299元 （現烤的所以是好吃的可是料只有花枝有點弱） 白酒蛤蠣義大利麵250元 飲料甜點都是另外單點 兩個人吃了破千 實在是太貴,0,1736,東西 又 貴 又 難 吃   明太子 海鮮義 大利 麵   超誇張 的 上面 的 海鮮料 都 是 冷 的   噁 ~ ~ ~   炸雞 150 元 比 較 好吃   明太子 海鮮 披薩 299 元   （ 現烤 的 所以 是 好吃 的 可是 料 只有 花枝 有點 弱 ）   白酒 蛤蠣 義 大利 麵 250 元   飲料 甜點 都 是 另外 單點   兩個 人 吃 了 破千   實在 是 太貴
715,Chen Clark,2 週前,4,餐點：4/5  |  服務：3/5  |  氣氛：3/5,1,1736,餐點 ： 4 / 5     |     服務 ： 3 / 5     |     氣氛 ： 3 / 5
716,Hsu Alisa,3 週前,5,非常感恩店家幫我處理問題 一定會再回訪！ 重點餐點有好吃跟服務親切 餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1736,非常 感恩 店家 幫 我 處理 問題   一定 會 再 回訪 ！   重點 餐點 有 好吃 跟 服務 親切   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
717,YA J,4 週前,4,,0,1736,
718,wendy 04520634,1 個月前,5,超好吃的，cp值高，也不會很貴，除了薯條份量挺少的，我點帕瑪森海鮮燉飯跟泡菜燻雞+打拋豬pizza好吃，兩個味道都很濃郁，燉飯偏軟，披薩餅皮很香酥脆 餐點：5/5  |  服務：5/5  |  氣氛：5/5,1,1736,超 好吃 的 ， cp 值高 ， 也 不會 很貴 ， 除了 薯條 份量 挺少 的 ， 我點 帕瑪森海 鮮燉 飯 跟 泡菜 燻 雞 + 打 拋豬 pizza 好吃 ， 兩個 味道 都 很 濃郁 ， 燉 飯 偏軟 ， 披薩餅 皮 很 香 酥脆   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
719,Vanina,1 個月前,5,這裡的義大利麵很好吃，醬汁緊緊巴在麵上面，又不會太鹹，升級套餐就會有甜點，口感和調味都很好，飲品種類也很多，可以選擇養生一點的茶類 餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1736,這裡 的 義 大利 麵 很 好吃 ， 醬汁 緊緊 巴 在 麵 上面 ， 又 不會 太 鹹 ， 升級 套餐 就 會 有 甜點 ， 口感 和 調味 都 很 好 ， 飲品 種類 也 很多 ， 可以 選擇 養生 一點 的 茶類   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
720,???,1 個月前,4,餐點好吃 是好吃 不過明明沒人還等很久 點了一個湯一份義大利麵 湯等了十分鐘才上 上前詢問店員臉也很臭 Cp值高嗎 我是覺得還好 麵也不多 湯還要80裡面都沒料 餐點：5/5  |  服務：3/5  |  氣氛：4/5,0,1736,餐點 好吃   是 好吃   不過 明明 沒人 還等 很 久   點了 一個湯 一份 義 大利 麵   湯等 了 十分 鐘才 上   上前 詢問 店員臉 也 很 臭   Cp 值高 嗎   我 是 覺得 還好   麵 也 不 多   湯還要 80 裡面 都 沒料   餐點 ： 5 / 5     |     服務 ： 3 / 5     |     氣氛 ： 4 / 5
721,HsinChia Huang,1 個月前,1,送錯餐讓我等了40分鐘 最後只換來一句「不好意思喔不好意思」 餐點：4/5  |  服務：1/5  |  氣氛：3/5,0,1736,送 錯餐 讓 我 等 了 40 分鐘   最後只 換來 一句 「 不好意思 喔 不好意思 」   餐點 ： 4 / 5     |     服務 ： 1 / 5     |     氣氛 ： 3 / 5
722,劉嘉鴻,1 個月前,5,餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1736,餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
723,王奕迪,1 個月前,5,東西好吃！ 服務人員態度親切！ 明明是我搞錯點餐的東西（對不起） 服務人員都很親切客氣的說明 是個好店家 餐點：5/5  |  服務：5/5  |  氣氛：5/5,1,1736,東西 好吃 ！   服務人員 態度 親切 ！   明明 是 我 搞 錯點餐 的 東西 （ 對 不起 ）   服務人員 都 很 親切 客氣 的 說明   是 個 好 店家   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
724,洪KEVIN,2 個月前,5,餐點：5/5  |  服務：5/5  |  氣氛：5/5,1,1736,餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
725,林俊良,2 個月前,5,披薩的起司有香喔！ 餐點：4/5  |  服務：3/5  |  氣氛：3/5  建議的餐點 松露菌菇披薩 起司pizza 牛肉千層麵,1,1736,披薩 的 起司 有 香 喔 ！   餐點 ： 4 / 5     |     服務 ： 3 / 5     |     氣氛 ： 3 / 5     建議 的 餐點   松露菌菇 披薩   起司 pizza   牛肉 千層 麵
726,林晶晶,2 個月前,4,餐點不錯，出餐速度要加快。 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 起司焦甜,0,1736,餐點 不錯 ， 出餐 速度 要 加快 。   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   起司 焦甜
727,Regina I,2 個月前,5,整體來說，這個價位有這種品質很不錯了。肉醬給的很大一份，烤布蕾好吃。也沒收服務費,1,1736,整體 來 說 ， 這個 價位 有 這種 品質 很 不錯 了 。 肉醬給 的 很大 一份 ， 烤布蕾 好吃 。 也 沒 收服 務費
728,Leo Zhong,2 個月前,5,還不錯,1,1736,還不錯
729,哎唷沙拉sara,2 個月前,5,要留意騎樓的標示 很容易錯過 他位於麥當勞隔壁棟 同層有美髮店 上來有洗髮精的味道  整體環境明亮乾淨 樓梯也不會很窄 在2樓 很方便  餐點份量實足 可以多加點套餐 這次點青醬海鮮義大利麵 （青醬、菇類、小花枝） 很特別 用的是一整個小花枝 口感不錯也很有誠意  薯條好吃  Pizza 是專門烤pizza的器具 感覺蠻厲害的  適合三五好友 各點不同的餐點一起享用 一個人吃不完10寸 下次會想嘗試pizza （也有可以合併的口味作法唷～） 餐點：4/5  |  服務：4/5  |  氣氛：4/5,0,1736,要 留意 騎樓 的 標示   很 容易 錯過   他位 於 麥當勞 隔壁 棟   同層 有 美 髮 店   上來 有 洗 髮 精 的 味道     整體 環境 明亮 乾淨   樓梯 也 不會 很窄   在 2 樓   很 方便     餐點 份量 實足   可以 多加點 套餐   這次點 青醬 海鮮義 大利 麵   （ 青醬 、 菇類 、 小 花枝 ）   很特別   用 的 是 一整 個 小 花枝   口感 不錯 也 很 有 誠意     薯條 好吃     Pizza   是 專門 烤 pizza 的 器具   感覺 蠻 厲害 的     適合 三五 好友   各點 不同 的 餐點 一起 享用   一個 人 吃不完 10 寸   下次 會想 嘗試 pizza   （ 也 有 可以 合 併 的 口味 作法 唷 ～ ）   餐點 ： 4 / 5     |     服務 ： 4 / 5     |     氣氛 ： 4 / 5
730,Michelle Kuo,2 個月前,5,好吃、孩子喜歡、食材新鮮實在 餐點：5/5  |  服務：5/5,0,1736,好吃 、 孩子 喜歡 、 食材 新鮮實 在   餐點 ： 5 / 5     |     服務 ： 5 / 5
731,???,2 個月前,5,它很美味。為什麼這個地方不出名呢？ 我發現了一家連我當地的朋友都不知道的餐廳。 餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1736,它 很 美味 。 為 什麼 這個 地方 不 出名 呢 ？   我 發現 了 一家 連我 當地 的 朋友 都 不 知道 的 餐廳 。   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
732,日安,2 個月前,5,餐點好吃，但套餐的薯條份量不多，不過口味都還不錯 會再回去用餐 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 夏威夷披薩,0,1736,餐點 好吃 ， 但 套餐 的 薯條 份量 不 多 ， 不過 口味 都 還不錯   會 再 回去 用餐   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   夏威夷 披薩
733,Mascot Fan,3 個月前,4,可能人手不足 服務比較不行 餐點份量屬多的 女生真吃不完哦 餐點：4/5  |  服務：2/5  |  氣氛：3/5,0,1736,可能 人手不足   服務比 較 不行   餐點 份量 屬多 的   女生 真 吃不完 哦   餐點 ： 4 / 5     |     服務 ： 2 / 5     |     氣氛 ： 3 / 5
734,Faustine Tang,3 個月前,4,聚會好地方，點心不能打包 餐點：4/5  |  服務：4/5  |  氣氛：4/5,1,1736,聚會 好 地方 ， 點心 不能 打包   餐點 ： 4 / 5     |     服務 ： 4 / 5     |     氣氛 ： 4 / 5
735,YuWen Hsieh (嚕嘟),3 個月前,5,義大利麵好吃 有點香蕉披薩  皮可以薄一點  因為吃不完,0,1736,義 大利 麵 好吃   有點 香蕉 披薩     皮 可以 薄一點     因為 吃不完
736,彭啟倫,3 個月前,5,好吃美味c p值高，人不多，可能是因為不好找 餐點：5/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 松露菌菇披薩,0,1736,好吃 美味 c   p 值高 ， 人不多 ， 可能 是 因為 不好 找   餐點 ： 5 / 5     |     服務 ： 4 / 5     |     氣氛 ： 4 / 5     建議 的 餐點   松露菌菇 披薩
737,徐睿辰,3 個月前,5,,0,1736,
738,陳信宏,3 個月前,5,蛤蜊沒話說的鮮甜又多，但最讓我開心的是套餐最後上的烤布蕾，吃了就很爽 餐點：5/5  |  服務：5/5  |  氣氛：4/5,0,1736,蛤蜊 沒話 說 的 鮮甜 又 多 ， 但 最 讓 我 開心 的 是 套餐 最後上 的 烤 布蕾 ， 吃 了 就 很爽   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 4 / 5
739,shu ling liao,3 個月前,5,平價的餐廳，燉飯好吃 餐點：5/5  |  服務：5/5  |  氣氛：4/5,0,1736,平價 的 餐廳 ， 燉 飯 好吃   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 4 / 5
740,Alex青鳥（鶄）,3 個月前,5,裝潢溫馨明亮 義大利麵好吃~ 蛤蠣跟麵味道都很夠 白酒味道很香  雙拼批薩CP值很高 好吃量又很夠 香腸口味推推~ 餐點：5/5  |  服務：4/5  |  氣氛：5/5,0,1736,裝潢 溫馨 明亮   義 大利 麵 好吃 ~   蛤蠣 跟 麵 味道 都 很夠   白酒 味道 很香     雙拼 批薩 CP 值 很 高   好吃 量 又 很夠   香腸 口味 推推 ~   餐點 ： 5 / 5     |     服務 ： 4 / 5     |     氣氛 ： 5 / 5
741,J?r?my Doan,3 個月前,5,餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1736,餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
742,Rou,3 個月前,2,餐點：3/5  |  服務：1/5  |  氣氛：1/5,0,1736,餐點 ： 3 / 5     |     服務 ： 1 / 5     |     氣氛 ： 1 / 5
743,meng,3 個月前,5,餐點都蠻好吃的！ 披薩10吋，可以點雙拼，有一定的厚度口感脆脆的，起司很多，不會有一直在吃麵粉皮的感覺，畢竟喜歡泡菜口味！ 烤布蕾好吃，糖烤的很脆 餐點：5/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 泡菜pizza,0,1736,餐點 都 蠻 好吃 的 ！   披薩 10 吋 ， 可以 點雙 拼 ， 有 一定 的 厚度 口感 脆脆 的 ， 起司 很多 ， 不會 有 一直 在 吃 麵 粉皮 的 感覺 ， 畢竟 喜歡 泡菜 口味 ！   烤布蕾 好吃 ， 糖 烤 的 很脆   餐點 ： 5 / 5     |     服務 ： 4 / 5     |     氣氛 ： 4 / 5     建議 的 餐點   泡菜 pizza
744,Ho-Chun Yang,4 個月前,5,點了瑪格麗特披薩跟海鮮千層麵 平價好吃，份量足夠！ 位置在眼鏡行上面二樓的髮廊裡面，進髮廊後的右手邊就是店家門口囉！ 餐點：5/5  |  服務：3/5  |  氣氛：4/5,0,1736,點了 瑪格麗特 披薩 跟 海鮮千層 麵   平價 好吃 ， 份量 足夠 ！   位置 在 眼鏡行 上面 二樓 的 髮 廊 裡面 ， 進 髮 廊 後 的 右手 邊 就是 店家 門口 囉 ！   餐點 ： 5 / 5     |     服務 ： 3 / 5     |     氣氛 ： 4 / 5
745,石佳福,4 個月前,4,,1,1736,
746,VV,4 個月前,4,兩次外帶都覺得天啊也太好吃了吧！！ 西西里番茄海鮮燉飯沒有拍，但是有拍青醬雞腿燉飯～～  燉飯的飯軟硬適中，而且醬汁很多！就喜歡這種濕度的飯啊！ 主食肉類的部分也很物超所值，海鮮蠻多，雞腿也有五大片！對女生來說一客滿大份，真的滿足～ 小小小小不足是偏鹹一點點，但整體來說都很好吃  而且我平常只吃奶類義大利麵跟燉飯，沒想到這家番茄跟青醬好吃，覺得番茄燉飯不會到太酸，是有經過調味煮過適合下飯的味道！給讚，希望可以在北車長久生存下去  ---- 3訪 結果這次親友外帶回去說青醬的雞腿肉有點酸掉 哇天啊才剛推薦就漏氣！ 希望貴店家再更注意食材新鮮度!!!,1,1736,兩次 外帶 都 覺得天 啊 也 太 好吃 了 吧 ！ ！   西西里 番茄 海鮮燉 飯 沒 有 拍 ， 但是 有 拍 青醬 雞 腿 燉 飯 ～ ～     燉 飯 的 飯 軟 硬 適中 ， 而且 醬汁 很多 ！ 就 喜歡 這種 濕度 的 飯 啊 ！   主 食肉 類的 部分 也 很 物超所值 ， 海鮮蠻 多 ， 雞腿 也 有 五 大片 ！ 對 女生 來 說 一客 滿大份 ， 真的 滿足 ～   小小 小小 不足 是 偏 鹹 一點點 ， 但 整體 來 說 都 很 好吃     而且 我 平常 只 吃奶 類義 大利 麵 跟 燉 飯 ， 沒 想到 這家 番茄 跟 青醬 好吃 ， 覺得 番茄 燉 飯 不會 到 太酸 ， 是 有 經過 調味 煮過 適合下 飯 的 味道 ！ 給 讚 ， 希望 可以 在 北車長 久 生存 下去     ----   3 訪   結果 這次 親友 外帶 回去 說 青醬 的 雞 腿肉 有點 酸 掉   哇天 啊 才剛 推薦 就 漏氣 ！   希望 貴 店家 再 更 注意 食材 新鮮度 ! ! !
747,火柴人,4 個月前,5,披薩跟烤布蕾蠻好吃的 其他的還沒試過 我覺得非常划算 但是有一個讓我扣很大分的點 就是紅茶澀到靠北 真的寧願你們買現成的 那個等級是比麥香還慘的那種 死甜又澀 其他料理真心推薦 希望能改進 餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1736,披薩 跟 烤 布蕾蠻 好吃 的   其他 的 還沒試過   我覺 得 非常 划算   但是 有 一個 讓 我 扣 很大 分的點   就是 紅茶 澀 到 靠北   真的 寧願 你 們 買 現成 的   那個 等級 是 比麥香 還慘 的 那種   死 甜 又 澀   其他 料理 真心 推薦   希望 能 改進   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
748,I Hisn Lien,4 個月前,5,份量很足 CP值很高 服務也很貼心,0,1736,份量 很足   CP 值 很 高   服務 也 很 貼心
749,September,4 個月前,5,不，這是什麼來到中正紀念堂，不知道吃什麼，就參觀了一下。首先我餓了，就點了烤寬麵條，咬了一口，但是味道比我在韓國烤寬麵條店吃的還要好吃。鹹味較少，番茄味很濃，所以我把它刮下來吃了。我升級了套餐，把可樂和蛋奶焦糖一起吃了，蛋奶焦糖棒極了。 餐點：5/5  |  服務：4/5  |  氣氛：4/5,0,1736,不 ， 這是 什麼 來 到 中正 紀念堂 ， 不 知道 吃 什麼 ， 就 參觀 了 一下 。 首先 我 餓 了 ， 就點 了 烤 寬 麵 條 ， 咬了一口 ， 但是 味道 比 我 在 韓國 烤 寬 麵 條店 吃 的 還要 好吃 。 鹹 味 較 少 ， 番茄 味 很濃 ， 所以 我 把 它 刮下 來 吃 了 。 我升級 了 套餐 ， 把 可樂 和 蛋奶 焦糖 一起 吃 了 ， 蛋奶 焦糖 棒極 了 。   餐點 ： 5 / 5     |     服務 ： 4 / 5     |     氣氛 ： 4 / 5
750,林祈辰,4 個月前,2,餐點：3/5  |  服務：2/5  |  氣氛：2/5,0,1736,餐點 ： 3 / 5     |     服務 ： 2 / 5     |     氣氛 ： 2 / 5
751,Amber,5 個月前,5,CP值很高的一家店，內用位子不多，建議提前訂位！ 餐點價格不高，東西很好吃 服務也很好 很難得還能找到這種店,1,1736,CP 值 很 高 的 一家 店 ， 內用 位子 不 多 ， 建議 提前 訂位 ！   餐點 價格 不高 ， 東西 很 好吃   服務 也 很 好   很難 得 還能 找到 這種 店
752,Meng-Ko Tsai,5 個月前,5,入口有點難找，在麥當勞正對面，眼鏡行樓上。價位中等，可以刷卡，非常優秀！ 環境整潔明亮，餐具和水是自助式，不收服務費。 海鮮燉飯內的蝦子有事先撥殼只留尾巴，很貼心，口味偏重一些。 看到別人桌上的pizza跟焗烤好像也不錯，會願意二訪。 餐點：5/5  |  服務：4/5  |  氣氛：4/5,1,1736,入口 有點 難 找 ， 在 麥當 勞正 對面 ， 眼鏡 行樓 上 。 價位 中等 ， 可以 刷卡 ， 非常 優秀 ！   環境 整潔 明亮 ， 餐具 和 水 是 自助式 ， 不 收服 務費 。   海鮮燉 飯 內 的 蝦子 有 事先 撥殼 只 留尾巴 ， 很 貼心 ， 口味 偏重 一些 。   看到 別人 桌上 的 pizza 跟 焗 烤 好像 也 不錯 ， 會願 意二訪 。   餐點 ： 5 / 5     |     服務 ： 4 / 5     |     氣氛 ： 4 / 5
753,???,5 個月前,5,這是一家性價比很高的餐廳，除了台灣香腸披薩之外。 很美味,0,1736,這是 一家 性價 比 很 高 的 餐廳 ， 除了 台灣 香腸 披薩 之外 。   很 美味
754,JY Y,5 個月前,4,建議的餐點 松露菌菇披薩,0,1736,建議 的 餐點   松露菌菇 披薩
755,Jian Lin,6 個月前,4,餐點：4/5  |  服務：4/5  |  氣氛：4/5,0,1736,餐點 ： 4 / 5     |     服務 ： 4 / 5     |     氣氛 ： 4 / 5
756,青田風,6 個月前,5,披薩超好吃！！大推！,0,1736,披薩超 好吃 ！ ！ 大 推 ！
757,陳建宏,6 個月前,5,服務：?????????? 環境：?????????? 味道：???????? 速度：?????????? 份量：???????????? 價格：???????? 時間：5月1日上午11:00 餐點：蒜味培根番茄義大利麵、泡菜燻雞+香腸野菇披薩（雙拼） 用餐環境舒適，店員服務態度佳，味道比較一般，但份量十足,0,1736,服務 ： ? ? ? ? ? ? ? ? ? ?   環境 ： ? ? ? ? ? ? ? ? ? ?   味道 ： ? ? ? ? ? ? ? ?   速度 ： ? ? ? ? ? ? ? ? ? ?   份量 ： ? ? ? ? ? ? ? ? ? ? ? ?   價格 ： ? ? ? ? ? ? ? ?   時間 ： 5 月 1 日 上午 11 : 00   餐點 ： 蒜味 培根 番茄 義 大利 麵 、 泡菜 燻 雞 + 香腸 野菇 披薩 （ 雙拼 ）   用餐 環境 舒適 ， 店員 服務態度 佳 ， 味道 比較 一般 ， 但 份量 十足
758,不告訴你不告訴你,6 個月前,4,餐點：4/5  |  服務：4/5  |  氣氛：4/5,0,1736,餐點 ： 4 / 5     |     服務 ： 4 / 5     |     氣氛 ： 4 / 5
759,Wesley S,6 個月前,5,台北車站的愛店，每次都吃的超飽，份量十足！ 推薦他的披薩，是窯烤的還可以雙拼，焦香的起司配上蓬鬆的麵平????,0,1736,台北 車站 的 愛店 ， 每次 都 吃 的 超飽 ， 份量 十足 ！   推薦 他 的 披薩 ， 是 窯 烤 的還 可以 雙拼 ， 焦香 的 起司 配上 蓬 鬆 的 麵 平 ? ? ? ?
760,黃鈺涓,6 個月前,5,"要到健保局辦事，號碼抽到需等85分鐘，決定先去吃午餐，附近二樓這家與髮廊共用樓梯，二樓有窯烤pizza ，意大利麵，千層麵等餐點，飲料選項很多。屬自助式。點了lunch special 韓國泡菜pizza,烤雞翅，生菜沙拉，烤焦糖布蕾，附冰紅茶。才199. PC 值高，味道不錯吃。妹妹吃素，奶蛋素，點了田園磨菇青醬燉飯，口味很好。下次會再來 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 泡菜pizza 素蔬菜燉飯",0,1736,"要 到 健保局 辦事 ， 號碼 抽到 需 等 85 分鐘 ， 決定 先去 吃 午餐 ， 附近 二樓 這家 與 髮 廊 共用 樓梯 ， 二樓 有 窯 烤 pizza   ， 意大利 麵 ， 千層 麵 等 餐點 ， 飲料 選項 很多 。 屬 自助式 。 點了 lunch   special   韓國 泡菜 pizza , 烤 雞 翅 ， 生菜沙拉 ， 烤 焦糖 布蕾 ， 附冰紅 茶 。 才 199 .   PC   值高 ， 味道 不錯 吃 。 妹妹 吃素 ， 奶蛋素 ， 點了 田園 磨菇 青醬 燉 飯 ， 口味 很 好 。 下次 會 再 來   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   泡菜 pizza   素 蔬菜 燉 飯"
761,??。小露,6 個月前,5,,0,1736,
762,曾淑芬,7 個月前,5,所有餐點都很好吃,0,1736,所有 餐點 都 很 好吃
763,Xhmily,7 個月前,5,,0,1736,
764,蔡昆霖,7 個月前,4,,0,1736,
765,Sean Ho,8 個月前,3,PIZZA味道還OK，可惜不是我喜歡的酥脆餅皮。 餐點：3/5  |  服務：3/5  |  氣氛：3/5,0,1736,PIZZA 味道 還 OK ， 可惜 不是 我 喜歡 的 酥脆 餅皮 。   餐點 ： 3 / 5     |     服務 ： 3 / 5     |     氣氛 ： 3 / 5
766,watan mason (麥頌),8 個月前,5,建議的餐點 泡菜pizza 松露菌菇披薩 素蔬菜燉飯 起司焦甜,0,1736,建議 的 餐點   泡菜 pizza   松露菌菇 披薩   素 蔬菜 燉 飯   起司 焦甜
767,Backup My,8 個月前,3,我點了一份套餐，包括泡菜披薩、布丁和飲料。披薩的味道總體可以接受。麵包有很濃的酒精味，好像發酵過度了。我覺得它沒有我想像的那麼脆，更像是吃麵包，而不是披薩。我不得不添加很多番茄醬才能完成一半的披薩。布丁還是蠻不錯的,1,1736,我點 了 一份 套餐 ， 包括 泡菜 披薩 、 布丁 和 飲料 。 披薩 的 味道 總體 可以 接受 。 麵 包有 很 濃的 酒精 味 ， 好像 發酵 過度 了 。 我覺 得 它 沒 有 我 想像 的 那麼 脆 ， 更 像是 吃 麵 包 ， 而 不是 披薩 。 我 不得不 添加 很多 番茄 醬 才能 完成 一半 的 披薩 。 布丁 還是 蠻 不錯 的
768,Ray Dai,8 個月前,5,,0,1736,
769,Johnny,10 個月前,5,香蕉oreo pizza好吃，非常推薦,0,1736,香蕉 oreo   pizza 好吃 ， 非常 推薦
770,TC Shao,10 個月前,5,,0,1736,
771,20321黃品維,11 個月前,5,,0,1736,
772,葉小廷,11 個月前,1,點了海鮮千層麵，但”海鮮”的部分吃起來感覺只有上面的透抽…..不知道是不是內部問題上餐速度間隔過久，本來只想給一顆星但服務人員（女）的服務態度算不錯，很棒所以加一顆 但男性服務員態度冷淡又扣一顆 但料理真的……..滿不推的，沒有很好吃（個人口味）,1,1736,點了 海鮮千層 麵 ， 但 ” 海鮮 ” 的 部分 吃 起來 感覺 只有 上面 的 透 抽 … .. 不 知道 是不是 內部 問題 上餐 速度 間 隔 過久 ， 本來 只 想給 一顆 星 但 服務人員 （ 女 ） 的 服務態度 算 不錯 ， 很棒 所以 加一顆   但 男性 服務員 態度 冷淡 又 扣 一顆   但 料理 真的 … … .. 滿 不 推 的 ， 沒有 很 好吃 （ 個 人 口味 ）
773,Jerry yyy,11 個月前,5,披薩很好吃！老闆娘服務態度也很好還有招待讚讚,1,1736,披薩 很 好吃 ！ 老 闆 娘 服務態度 也 很 好 還有 招待 讚 讚
774,陳VI,1 年前,5,吃過披薩、義大利麵、千層麵、炸物及雞翅等等，每一項都很美味，飲料也有飲料店的水準，是會想回訪的店～,0,1736,吃過 披薩 、 義 大利 麵 、 千層 麵 、 炸物 及 雞 翅 等等 ， 每一項 都 很 美味 ， 飲料 也 有 飲料 店 的 水準 ， 是 會 想 回訪 的 店 ～
775,Yi-Hsuan Tsai,1 年前,5,餐點及飲料都很美味，用料實在 是個適合與家人朋友聚餐的好地方,0,1736,餐點 及 飲料 都 很 美味 ， 用料 實在   是 個 適合 與 家人 朋友 聚餐 的 好 地方
776,HSINHUI HUANG,1 年前,4,老闆人很熱情 幫推薦 炸雞翅、松露披薩推薦點！,0,1736,老 闆 人 很 熱情   幫 推薦   炸雞 翅 、 松露 披薩 推薦點 ！
777,何?婷,1 年前,5,餐點很好吃！,0,1736,餐點 很 好吃 ！
778,陳蘋果,1 年前,5,,0,1736,
779,沛沂賴,1 年前,5,老闆人超好 而且東西很好吃 一定會再來,1,1736,老 闆 人 超好   而且 東西 很 好吃   一定 會 再 來
780,蔡詠潔,1 年前,5,餐點：5/5  |  服務：5/5  |  氣氛：4/5,0,1736,餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 4 / 5
781,王梓庭,1 年前,5,東西都不錯吃，推薦千層麵，生日還招待披薩??，寵物友善餐廳,1,1736,東西 都 不錯 吃 ， 推薦 千層 麵 ， 生日 還 招待 披薩 ? ? ， 寵物 友善 餐廳
782,New Chen,1 年前,5,2個國中好朋友的護照過期了 來台北外交部辦理 約我吃中餐 很開心當初有存這間店 東西便宜好吃還能用LinePay 採掃Qrcode看菜單再到櫃檯點餐的方式 目前點披薩會再送一塊小的 開心！ 不用選套餐本身就會附飲料了  3樓會比較不顯眼 上樓後左邊是髮廊，右邊才是餐廳 看到有貓咪標誌的就沒錯惹~~~ 餐點：4/5  |  服務：3/5  |  氣氛：4/5,0,1736,2 個國 中 好 朋友 的 護照 過期 了   來 台北 外交部 辦理   約 我 吃 中餐   很 開心 當初 有存 這間 店   東西 便宜 好吃 還能 用 LinePay   採掃 Qrcode 看菜 單再 到櫃 檯 點餐 的 方式   目前 點披薩會 再 送 一塊 小 的   開心 ！   不用 選 套餐 本身 就 會 附 飲料 了     3 樓會 比 較 不 顯眼   上樓 後 左邊 是 髮 廊 ， 右邊 才 是 餐廳   看到 有貓 咪 標誌 的 就 沒錯 惹 ~ ~ ~   餐點 ： 4 / 5     |     服務 ： 3 / 5     |     氣氛 ： 4 / 5
783,陳阿贊,1 年前,5,好吃 CP值高！推~,0,1736,好吃   CP 值高 ！ 推 ~
784,Grace,1 年前,5,千層麵好好吃,0,1736,千層 麵 好 好吃
785,tony li,1 年前,5,便利的地點和超值的餐點，是台北車站附近難得的用餐空間,1,1736,便利 的 地點 和 超值 的 餐點 ， 是 台北 車站 附近 難得 的 用餐 空間
