comment
好吃的本幫菜 勝過很多新開的上海餐館就是餐廳裝潢有點廉價感
經典上海菜，台北已經很稀有了。 菜色經典之外，服務也是經典。茶水、客製化點餐、餐後水果……，真的令人回味無窮。大推醃篤鮮湯品，讓奶奶的拿手美味經典重現。 餐點：5/5  |  服務：5/5  |  氣氛：4/5

在新冠疫情之前，我每次都會來這裡。我非常喜歡酵素能量飲料，所以我總是喝它們。飲品供應時間為11:30至14:00和16:00至19:00。看來吃飯也有休息時間。如果你要去的話請小心。
麵包好吃
給與今日8/13下午三點多在果汁吧服務人員的服務熱誠嘉許，雖已過服務時間，但還是熱心服務供應，希望沒造成她的麻煩
來這最常買的是便當，主菜的魚還不錯，飯是紫米飯，配菜則一成不變，幾乎每天都一樣(至少2年來沒變過)。
好吃好逛的 鮮物超市喔，讚，生鮮肉品，海鮮都有品質喔 還有網路商城和 季節限定喔
要去之前最好再三向店家確認特約停車場是否還有合作。 今日要去前電話中說可以折抵，到現場買完結帳卻不行，雖然後來店員有協助解決，但心情都被搞壞，我相信收銀員也很無奈。
薑黃飯還不錯，感覺雞胸肉有一點辣，為何沒有在點餐時事先告知？不是每個人都可吃辣呀！
商品有時候會過期，必須自行多加注意使用期限。 line群組常會有不明人士po廣告或詐騙，又不設官方帳號，造成消費者困擾。
商品變得很少，光線昏暗，有點沒生氣
實在的天然食物

這蔬菜（葉菜類）價格，比全聯社還便宜啊！這兒除了生鮮蔬菜的，少量水果，冷凍鮮魚、肉類、加熱即食冷凍鮮食外，還有食品類及現場簡餐，也有便當和麵包可選購，住附近或在附近上班族真是有福氣呢！這點讓人很羨慕。只可惜沒有在其他區域多開幾家分店。

補魚貨，送5包蔬菜
當季的草莓奶油泡芙出乎意料的好吃！推薦。


有簡單餐點的精品生鮮商店，食材的包裝設計與說明簡單整潔 也一目了然，當然價格也來的貴一些 空間寬敞舒適，餐點美味，很好買！
最近買了幾盒龍虎斑分切禮盒自己吃，遇到幾個狀況：  1.其中有一盒裡有2包尾排，覺得一條魚2包尾排怪怪的。  2.前一晚從冷凍放冷藏退冰，隔天吃，沒失真空，但，拆開有黏液，黏黏的，只好洗過蒸，吃起來沒那麼鮮，但也沒壞。 陸續吃，發現有3，4包同樣的狀況，不是整盒都這樣，覺得怪，但能吃，沒想到要跟他們回報，直到問券，才想到這件事。不過，填了問券，也沒人打來了解就不了了之了。  3.前一晚從冷凍放冷藏，失真空，但沒黏液，蒸了，吃起來覺得變質了，有點不一樣的味道就丟廚餘了。  心想以前不會這樣，最近怎麼了？於是打電話給華山店，想讓他們知道有狀況，查查是哪個環節出問題。接電話的男士說他會回報總公司；覺得自己比較了解情況，而且門市忙，就說我來回報吧，確認了電話，就打去客服回報。 回報完，客服問我批號，並將小包裝袋拍了line 給她。  後來，我去門市，不清楚問題出在哪，沒再買龍虎斑分切禮盒，買了鱸魚分切禮盒，門市沒提起，我也沒問。  隔了幾天，line 問客服：有要補我一包嗎？對方問我什麼時後會去門市，電話姓名，並告知已告訴門市會補我一包，也提醒我下次商品有問題，要把有問題的商品帶回門市。  以為他們已聯繫好，結果門市跟我要包裝要東西，而且要補給我的是100克的半月切獨享包，我很意外他們不知道龍虎斑分切禮盒裏的不是100克的包裝嗎？跟店長說好久，她拆了分切禮盒秤一包給我看是180克，然後說:我們虧一點補2包給妳。後來補了2包100克的獨享包給我。  我能理解退貨換貨有標準流程，謝謝幫我上了一課。  昨晚，我拿分切禮盒的魚頭放冷藏退冰，中午要煮湯時，是失真空的狀態，冰沒退完全，還是冰的。檢查後，沒有開口，只是失真空，沒有黏液，只加薑和鹽煮湯，泡泡蠻多的，沒壞。但檢查是否有開口時發現批號標籤重疊，好奇撕開上層的批號，發現兩張批號不同，一張31331212，一張31322312。我沒要退，只是回報，退貨要跑一趟，覺得麻煩，有問題的食物再冰回冷凍也佔空間。我有拍照，附圖於後。
一個有賣簡餐的超市 現在有便當 即使只買便當也可以內用 環境舒適 沒有時間限制
服務佳、 麵包好吃
今天點了一份舒肥雞簡餐，雞肉本身相當軟嫩好吃，薑黃飯軟硬適中，還不錯吃。搭配的生菜相當新鮮。
食材新鮮多樣，海產種類豐富，價格合理，現售餐盒也很講究，麵包或現榨蔬果汁都很優
服務態度不佳！

店員態度非常的不友善，屢次用極差的口氣說話，感覺員工培訓與說話的藝術待加強
高高壯壯的男收銀員常常講話口氣都太嗆 雖然客戶並非至上 但店員也不是大爺 沒必要口氣這麼差吧 起碼對人的尊重要有
就住在天和鮮物附近，也算是鄰居，時常去購買東西，不少服務人員都是冷傲的態度，我也漸漸習慣這就是他們的風格…  今天下樓去買盒雞蛋，櫃檯三個人員，沒人要來結帳，我站了幾分鐘，沒人打招呼，也沒人要結帳，害我以為我今天穿了隱身斗篷，我想如果我直接拿走這盒雞蛋，是不是他們也會一樣沒反應？？最後我把雞蛋留在櫃檯，很不爽的直接走了！！我要對今天的服務人員給予超爛評價！！
本來只是為了用熊好券去的，東西單價對我來說有點高，去的時間也晚了，商品剩不多，選啊選的，買了便當跟吐司，回家跟家人一起吃。結果發現.......好好吃啊！！！！便當好香，明明冷掉了，但我在捷運上一直聞到香味，飯冷的也很Q，配菜就是健康的，也都很好吃！重點吐司好好吃！（要講幾次好吃哈哈哈哈哈）165元一條，但是裏面好多起司，連湊單價買的一個特價小巧克力餅乾都好香，又不會太甜。下次要再去買別的。




一樓有供應簡餐的餐廳 餐點好吃 但整層樓卻沒有洗手間可讓用餐的顧客使用 非常不人性化
Ponfu 以其自家網箱養殖的海鮮而聞名。 這是一家平靜的商店，出售安全可靠的食品。


透過公司購買的鱸魚禮盒很讚 裡面份量十足 CP值很高！ 明年過年也想再買一組
新鮮食材，沒話說。 最近一樓改成只賣簡餐與三明治，有點可惜 麵包最近傍晚和便當放在一起，可以一次買好兩頓飯
很久沒來天和買東西。烘焙麵包類一直以來表現都很不錯，而且用的原料食材都很好。  牛奶吐司105 好吃的吐司 打開包裝 就能聞到淡淡地奶香 很自然 喜歡~ 買的當天就吃了。吃起來濕潤度滿棒的 喜歡用手撕著吃。邊吃就聞到淡淡的香味 吃起來也很舒服，不會有負擔感。單吃就可以  法棍 75 表現非常出色！平時自己最愛、最常買的品項之一就是法棍了。若要試一家歐式烘焙的水準如何，一吃法棍便知。 天和的法棍，和目前市面上歐式麵包名店，或是法棍出名的法式烘焙店 表現不相上下 甚至還更出色。 當天下午買的 晚上吃。切片後 可以看到孔洞很漂亮(發酵的很好)，且呈現淡淡的黃。 更厲害的是 還有看起來充滿彈性的薄膜！ 外層的酥度 也很棒。 吃起來有淡淡的香氣 濕潤度一樣很棒 非常滿意，很驚艷！ 不過不是做有一點酸度的法棍 也很ok~  芝麻奶油麵包40 夾了奶油和煉乳，覺得夾層太甜了  雙拼便當(鯖魚+海熊蝦三隻) 140 便當上有清楚標示裡面食材來源一 蔬菜是有機，飯混了三種。 鯖魚烤得很好吃！喜歡 蝦子也ok.不錯 份量不算非常多 可能男生會有點沒飽  澎湖野放鴨蛋(一盒4顆) 80 活動單筆滿399 可49元加購 煮了水煮蛋 太適合了 好好吃！   蛋黃很大一顆 還有一點Q 蛋黃非常香 還有一股鹹蛋黃的香味但是不鹹 水煮蛋可以完全展現天和這澎湖鴨蛋的蛋香和特性 很推～ 好喜歡  店裡還有很多海藻肉類，和海鮮 買了海藻豬和帶殼的汶萊白蝦，還沒吃~~~~ 這裏居然還有很難買到的艾許無鹽奶油還有芝麻葉！！有需要的話千萬不要錯過了 便當不到七點就已經全部賣完，要早點買或是電話預定   陸續吃了新出的$160便當和$120便當，還有幾樣麵包， 麵包價格有調漲一點  嫩雞肉便當 160 160的便當 配菜比較西式調味，味道也頗清淡，蔬菜種類多很豐富，主食飯旁 還有一小塊的烘蛋和馬鈴薯泥～～ 嫩雞肉是雞胸肉，真的很嫩 好吃? 上面加很清爽有味 類似莎莎醬的洋蔥蕃茄碎~ 不過蔬菜類的調味真的有點過淡 比較喜歡鯖魚便當~  鯖魚便當 120 鯖魚好好吃 配菜上比較稀疏一點 種類就沒那麼多了，印象是有三個配菜:一個青菜 一樣南瓜跟另一個忘了  獅子頭 150 一碗裡有四顆，還有約一份的青菜。有青菜很不錯～ 獅子頭裡幾乎都是瘦肉，沒有吃到肥肉的口感 口味很清淡 清爽 ，一個很健康的味道 內餡還有荸薺 紅蘿蔔 鮮香菇 蔥。 不過白胡椒味頗重 需斟酌口味購買 我自己就很不愛白胡椒味  農家裸麥麵包 150 是用裸麥粉製作。麥香味頗明顯 也滿濕潤的 好吃，是健康口味  蜂蜜莊園麵包 150 一入口蜂蜜味就很明顯  喜歡 自己是很喜歡蜂蜜味的烘焙品 加上裏面小小的蜜漬檸檬丁 意外地非常搭 這款麵包是柔軟的口感，不像一般歐式麵包比較結實或偏硬  全麥煙燻乳酪鄉村麵包 145 不愛煙燻起司 所以這個口味還好~起司的煙燻味頗明顯 麵包裡還有些許堅果南瓜子葵瓜子，這款也是偏柔軟的口感
買了蛋黃酥和紅豆可頌，底部不知何因都是一大圈焦黑，價錢不便宜，致癌物吃好吃滿。

親切，生鮮，原味，天然無添加

天和賣的東西種類很多，而且便當很好吃，建議請變化一下附菜，不要每天都千篇一律，多數是常客也會吃膩的，如此建議也是希望倆全其美生意興隆可能生意好不在乎客戶的意見，居然還說主要不是賣便當的，怎麼這樣回應客戶的？？？
意外發現家人帳號 4月份再次抽中加碼農遊券 疫情緊繃所以趁冷門時段來 #天和鮮物 吃吃買買 喜歡這邊的環境...輕鬆舒適 以前都吃他們特殊湯頭的火鍋 前幾個月他們改賣簡餐 今天頭暈暈...點了 #匈牙利燉牛肉  先吃了薑黃飯~ 清香飯Q彈好口感 接著吃沙拉爽脆開胃 主角牛肉燉的微嚼感軟硬適中，入口有蕃茄鮮甜和蘑菇香還有淡淡層次的奶油香~好吃。 吃完喝杯國寶茶~舒服。 整體份量適中...簡單卻有層次內涵 下次會想再來吃清蒸龍虎石斑魚
空間舒適，產品眾多，還可以使用農遊?又有滿額送200太棒了！





物美價廉

喜歡新鮮食材



簡餐很好吃 ！喜歡改裝後的樣子


食材美味新鮮，定期推出特惠活動，固定定期回購！






產品品質安全














新推出的簡餐好吃，改裝後的餐飲空間非常舒適，工作人員態度親切！ 註：近期有促銷及特價活動，非常划算！
我要給櫃檯服務人員李先生服務100分 我忘記名字，高高的，戴眼鏡，對客人的問題有問必答，態度很好！  因為我家阿嬤超愛吃這家販賣的瓶裝花生湯 在搬運花生湯（一箱12瓶） 我不小心被箱子割傷手指頭 上前去櫃檯詢問是否有醫藥箱時 李先生馬上幫忙處理包紮。  隨後由於購買的商品有點多 但是停車場有段距離，又下雨 於是我與母親就先去開車（結完帳物品就暫時放置店內門口） 母親將車停靠門口 我下車要去取購買的商品時 李先生就馬上來幫忙搬上車， 真的是感謝他！ 讓我們省去許多麻煩！  店內除了花生湯很推薦！（目前優惠12瓶一箱300元） 紅豆湯也很好喝（目前優惠6瓶168元） 沙琪瑪葡萄口味也很好吃（目前優惠98元） 以上是我家阿嬤的最愛 搭配農遊卷可以使用！  停車有配合專屬的停車場： CITY PARKING 城市車旅停車場(台北華 山站) 台北市中正區紹興北街 31巷28號





東西多樣又新鮮


食材新鮮


「北平上園樓」民國43年創立，老字號餐廳至今已近70年，是美食家胡天蘭老師推薦的餐廳，也是許多饕客聚集的地方，菜色多達兩三百道，除了北方菜也有其他地方菜餚，值得一探究竟。  平日晚上幾乎客滿狀態，觀察了一下四周除了台灣人還有外國人，可見生意有多火爆，回台灣16年最想念北京的美食，我知道要在台灣找到相同的口味非常難，畢竟飲食習慣不同，今天在北平上園樓吃到滿意的北京烤鴨、宮保雞丁很滿足！ 餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 炒爆羊肉 宮保雞丁
中國北方傳統美食。工作人員在忙碌的時候確實會有點不知所措，所以要有耐心。火鍋所用的羊肉可能是我在台北吃過的最好吃的了。 餐點：5/5  |  服務：4/5  |  氣氛：5/5
餐點：1/5  |  服務：1/5  |  氣氛：1/5
餐點：1/5  |  服務：1/5  |  氣氛：1/5
東服務態度極差，問一下都不行，臉很臭，東西很普通，比大飯店還貴 餐點：1/5  |  服務：1/5  |  氣氛：1/5  停車位 很多停車位  附近的停車場 付費停車位
老北京的味道 氣氛佳 服務人員親切 餐點：5/5  |  服務：5/5  |  氣氛：5/5
炒工道地！ 餐點：4/5  |  服務：4/5  |  氣氛：3/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
「打滷麵」算是在台灣很接近北京口味的大滷麵，滷子有金針、蝦米、筍片、紅蘿蔔片、蛋花、五花肉片，湯裡嚐得到蒜末和花椒油的香氣，麵條也筋道，吃著相當感動，滷子的湯不算太稠，容易澥（稀）掉，應該是為了符合台灣人喝湯的習慣，整體來說已經很驚艷了。  「炸丸子」乾香涮嘴，讓人一個接一個的停不下來，建議可以來一小碟“花椒鹽”搭配沾食，會更加出彩。  「炸醬麵」本來也就是店家的招牌麵點之一，炸醬都是師傅現點現炸，一份一份的各別費工處理，現在台灣很難找到如此的店家了。  特殊餐點：打滷麵 餐點：4/5  |  服務：4/5  |  氣氛：4/5
好吃實惠。 餐點：5/5  |  服務：5/5  |  氣氛：4/5
餐廳雖然有年紀但保持的很不錯 尤其廁所讓人很意外 怎麼這麼乾淨！ 服務人員都是阿姨等級的  生意很好 酸菜白肉鍋料多實在風味絕佳 涮肥羊或肥豬肉都很美味 燒餅 臭豆腐 豆沙鍋餅 捲餅樣樣無雷 再訪意願五顆星沒問題 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 三杯臭豆腐
餐點：5/5  |  服務：5/5  |  氣氛：5/5

實際評分：3.5/5.0 到訪日期：2023/09/24，晚上初訪 得知該店訊息：姐姐帶來的 位置： 。大眾運輸：捷運善導寺站約5分內路程 。隱密度：好找，林森南路上很容易找到 。停車：機車附近巷弄內可停，汽車青島東路上有停車格  餐點部分：三杯雞稍鹹了一些，湯的蛤蜊蠻大顆的，大部分點的菜色除了三杯雞以外其它都不會太鹹，油的口感也還不錯，不會油膩感太重  用餐環境：假日晚上到訪，略有人潮，中式大圓桌，傳統中式桌菜的店  餐點等待時間：5分鐘以內  態度：不錯  感想：整體來說，大部分的菜色不錯吃，但吃完之後會比較口渴就是  當日付款方式：姐姐請客  發票：有，忘了是電子還是收銀機的發票了 餐點：3/5  |  服務：4/5  |  氣氛：3/5
菜都好吃 烙餅 真是好吃 餐點：5/5  |  服務：5/5  |  氣氛：4/5
吃一個經驗 餐點：3/5  |  服務：3/5  |  氣氛：3/5

服務熱忱親切，餐點好吃 建議的餐點 小黃瓜小菜
北平烤鴨的做法是皮肉分離，皮脆肉軟，口感極佳，其他所點的每一道菜也都很好吃，下次想嚐嚐他們的火鍋，看起來很棒。 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 絲瓜蛤蜊 炒爆羊肉 宮保雞丁 小黃瓜小菜 蔥油餅

餐點：4/5  |  服務：4/5  |  氣氛：4/5
算是老一輩的人會懷念的口味餐廳，餐點配合高粱酒一起享用真是美味極了。用餐環地點有包廂可以事先訂位，包廂有低消限制，一間坐上10-12人沒問題。 餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
好吃的酸菜白肉過還有烤鴨 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 豌豆雞絲 蔥油餅
餐點：5/5  |  服務：4/5  |  氣氛：4/5
我喜歡的餐點 建議的餐點 山東燒雞 牛肉捲餅 炸醬麵 合菜戴帽 蔥油餅
餐點：4/5  |  服務：4/5  |  氣氛：3/5
口味不錯 菜色很多 但偏油 需要事先訂位 餐點：3/5  |  服務：3/5  |  氣氛：3/5
老字號，烤鴨，臭豆腐，羊肉爐，抓餅，蝦仁，小籠包，東西都很好吃 餐點：4/5  |  服務：4/5  |  氣氛：4/5
舊學校，只收現金，優質食品！ 餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：4/5  |  服務：4/5  |  氣氛：4/5
以前也會偶爾來吃，覺得味道普普，因為都是別人請客，所以不知道價錢。 這次聚餐也是朋友請客，因為是超級好朋友，所以有偷偷問了價錢，超過7千元。 我只能說這家的美味是建築在金錢上。 1、酸菜白肉火鍋：應該是招牌菜，聽說點了2份，難怪肉片鋪得滿滿的，味道不錯，湯頭好喝，只知道不便宜啊。 2、烤鴨：這道肯定不便宜，台北市不管哪一家的價格都不便宜，朋友吃過其他名店的烤鴨，覺得這一家不輸名店，大家就參考看看吧。 3、圓鱈：魚肉鮮美，煎烤的剛剛好，朋友說這道算是大菜，嗯，價格果然是大菜。 4、臭豆腐：這家的臭豆腐味道有入味，臭的好吃，相較其他菜，這道菜的價格應該算比較持平吧？ 5、九轉肥腸：朋友說是老闆推薦的，他也是第一次吃，大家吃了都覺得很不OK，非常沒有肥腸的味道，總之整個料理方式很不對味。 6、招待的涼拌菜：非常開胃，好吃。 7、蔥油餅，也算是招牌之一吧，忘了拍；其他的菜就還行吧，大家參考看看。  素食餐點：有素蒸餃  停車場：林森南路、青島東路、濟南路上都有收費路邊停車格，要花時間找 餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 鹽酥田雞 蔥油餅 涼拌白菜心  停車位 停車不方便  附近的停車場 付費路邊停車 不提供停車位
老店資深職人服務就是到位！讚！讚！讚！ 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 豌豆雞絲 絲瓜蛤蜊 山東燒雞 木須炒耳 雪凍羊羔 鹽酥田雞 小籠包 炒爆羊肉 宮保雞丁 芹菜羊肚 牛肉捲餅 糖醋鱈魚片 小黃瓜小菜 酥炸中卷 柳丁 炸醬麵 合菜戴帽 蔥爆 牛肉 炸芝麻球 蔥油餅 涼拌白菜心
熟悉的老味道，四五年級生應該知道的中山堂山西餐廳；用餐最好先預定，免得站崗排隊；週末晚餐分兩場，五點，七點  特殊餐點：北平烤鴨，可以多種吃法，可以跟服務人員討論 餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 豌豆雞絲 絲瓜蛤蜊 合菜戴帽 蔥油餅
整體服務態度不錯有老式情懷，炸小丸子外?酥脆?香好吃，芥蘭炒牛肉柔軟好吃，可惜招牌炒木樨耳並不Q，並無法比凝意式麵疙瘩，鍋氣也不顯，但調味還行下次可能自己就會點了，反而金泰刀削麵較比之出色，盒菜帶帽味道普通稍油點，但餅及醬還不錯 餐點：4/5  |  服務：4/5  |  氣氛：4/5
烤鴨就是要在老字號的餐廳才好吃 上園樓烤鴨肉質嫩而多汁，皮更是脆的！ 鴨肉炒銀芽更是好吃！ 蔥油餅又香又酥，如果不是怕吃過量，一定會再多加點多吃幾片 其他炒菜也很棒 服務人員都是資深大姐們，動作迅速到位又不失禮貌親切，每個人眼晴耳朵都張很開，你只要眼神看向他們，張口出個聲音，即使現場人聲鼎沸，非常吵雜，他們一樣看得到聽得見！這才是老店厲害的地方啊！ 冬天來吃過酸白菜火鍋，也是非常頂！ 總之，這店屹立不搖幾十年是有他的實力的！  特殊餐點：烤鴨 餐點：5/5  |  服務：5/5  |  氣氛：4/5  建議的餐點 蔥油餅
餐點有點小鹹，服務態度有進步空間，對面有收費停車場?? 餐點：3/5  |  服務：3/5  |  氣氛：3/5
菜色很道地 有的鹹 餐點：4/5  |  服務：4/5  |  氣氛：4/5
餐點：3/5  |  服務：4/5  |  氣氛：4/5
老招牌，餐點道地，服務親切。 餐點：5/5  |  服務：5/5  |  氣氛：4/5
回憶中的餐廳，份量不多東西不錯，但價錢偏高，年長消費者多，熱鬧偏吵，吃東西要講究cp值，注意用餐環境的不必考慮。 餐點：4/5  |  服務：3/5  |  氣氛：3/5  建議的餐點 豌豆雞絲 木須炒耳 雪凍羊羔 小籠包 牛肉捲餅 合菜戴帽 蔥油餅
餐點：4/5  |  服務：5/5  |  氣氛：4/5
餐點：5/5  |  服務：3/5  |  氣氛：2/5
老店真的好吃，接待服務的姐超棒的。點的份量很夠，兩個人4樣菜就撐了！ 餐點：5/5  |  服務：5/5  |  氣氛：5/5
蔥油餅超級好吃   餐點：5/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 蔥油餅
上菜很快，菜色選擇很多，傳統好味道 炸醬面也非常好吃 餐點：5/5  |  服務：5/5  |  氣氛：4/5  建議的餐點 豌豆雞絲 炒爆羊肉 宮保雞丁 炸醬麵 合菜戴帽
餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：5/5  |  氣氛：4/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：5/5  |  氣氛：4/5  建議的餐點 豌豆雞絲 蔥油餅
餐點：5/5  |  服務：5/5  |  氣氛：3/5
很不錯的中式餐廳，每道菜都作得很好，點心也有一定水準，交通方便。裝潢很老派，適合喜歡這種餐廳的人。 餐點：5/5  |  服務：5/5  |  氣氛：5/5
好吃 餐點：4/5  |  服務：3/5  |  氣氛：3/5

烤鴨，酸菜白肉鍋。烙餅都很好吃。 餐點：5/5  |  服務：5/5  |  氣氛：5/5
炒飯跟蔥油餅普通，其他都好吃～ 餐點：5/5  |  服務：4/5  |  氣氛：4/5
傳統美味，優質服務 餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 豌豆雞絲
餐點：3/5  |  服務：4/5  |  氣氛：3/5  建議的餐點 豌豆雞絲 炒爆羊肉 宮保雞丁
唯一的缺點：冷氣不冷，吃到流汗麵點類真的厲害 餐點：5/5  |  服務：4/5  |  氣氛：5/5
好吃上菜速度很快 餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：4/5  |  服務：4/5  |  氣氛：3/5
很合口味。上菜很快速 餐點：5/5  |  服務：5/5  |  氣氛：4/5  建議的餐點 蔥油餅
餐點：4/5  |  服務：5/5  |  氣氛：3/5  建議的餐點 蔥油餅
餐點：3/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 合菜戴帽 蔥油餅
餐點：5/5  |  服務：5/5  |  氣氛：5/5

餐點：5/5  |  服務：3/5  |  氣氛：3/5
餐點其實應該要給五星的，不過對我來說實在有點鹹，下次一定要跟店家叮嚀少鹽！ 最愛貓耳朵，台北有地道山西麵食的餐廳實在太少了，其實山西的各式麵點都是值得品嚐的。貓耳朵看起來、吃起來都有點像義大利貝殼麵，但更香更有彈性，木肉炒耳就是木須肉炒貓耳朵，有肉、有蛋、有青菜，是一道非常家常又營養的料理。蔥油餅是蝸牛式的蔥油餅，不油不鹹有青蔥的味道，非常推薦蔥油餅配酸辣湯，這裡的酸辣湯是地道的北京味，有濃濃的白胡椒香氣，料多實在真的不錯。炸醬麵也是一絕，拉麵麵條Q彈有勁，炸醬裡的甜麵醬很少，全是瘦肉燥，加上黃瓜絲和綠豆芽，用料實在太大方啦！素蒸餃味道也不錯，麵皮使用燙麵揉製，味道很棒。雞絲涼皮非常適合夏天吃，涼皮Q雞絲多醬料有芥末的嗆，清炒豆苗也是鮮嫩無比，合菜戴帽的料理和木須肉有點類似，各式小菜也都不錯，是一間值得日常用餐的餐廳。唯一不便的是只能付現。 餐點：4/5  |  服務：5/5  |  氣氛：5/5
老店 老味道 適合老朋友聚會的好地方 餐點：5/5  |  服務：5/5  |  氣氛：5/5
阿嬤很多的店 好吃 餐點：3/5  |  服務：3/5  |  氣氛：3/5
真愛 台北最棒的餐廳之一 餐點：5/5  |  服務：5/5  |  氣氛：5/5
服務態度很好 餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：4/5  |  服務：4/5  |  氣氛：3/5
老派餐廳，傳統風味。雖然我覺得菜品有點淡。總而言之，這還不錯，但並不壯觀。 餐點：3/5  |  服務：3/5  |  氣氛：3/5

非常好吃的老店 餐點：5/5  |  服務：4/5  |  氣氛：3/5  建議的餐點 三杯臭豆腐
好吃美食又便宜的老地方，家人聚餐、請客的首選！小菜到位：苦瓜、茄子，保有食材特色的好吃！碗豆雞絲，嫩香；牛肉捲餅，肉多Q彈；香軟的盒菜帶帽必加荷葉餅；羊羹更不能錯過；小籠包滿口香；鐵板豆腐配上清爽的拌白菜心；必點的韭黃鱔糊：完全滿足想念美食的食慾！大推！ 112.6.23.再訪 想念的老味道，一樣好吃的美食！ 吃完看了照片，莞爾一笑：怎麼喜歡吃的菜色都沒有變： 特愛的牛肉捲餅、京都排骨、合菜戴帽和荷葉餅、炒鱔糊、涼拌白菜心！再來個炒豆苗！ 這裡的麵食，真是一絕！（可惜停售：牛肉餡餅、木須炒刀削麵，好想念喔） 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 豌豆雞絲 雪凍羊羔 涼拌菜 牛肉捲餅 小黃瓜小菜 炸芝麻球 蔥油餅
一家饕客都知道的老店，老師傅的廚藝，不油不膩的真功夫好吃，值得品嚐。
建議的餐點 豌豆雞絲
餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 小籠包
餐點：4/5  |  服務：4/5  |  氣氛：3/5
一個坑外國人的地方，我就是溝通不了，又不想打架，所以最後付出了很多。 餐點：2/5  |  服務：1/5  |  氣氛：1/5
餐點：4/5
建議的餐點 三杯臭豆腐 牛肉捲餅
炸醬麵超好吃  必點
激勵自己努力工作。小份豆乾牛肉絲+1份蔥油餅+10%服務費=590元 中山站附近的天廚餐廳，比較讓我沒壓力

味道非常好吃。進餐廳之前請確保肚子是空的，好味道才能完整裝入。 建議的餐點 豌豆雞絲 涼拌菜 蔥爆 牛肉 蔥油餅

東西好吃，服務親切！ 餐點：5/5  |  服務：5/5  |  氣氛：5/5

12:30訂位，超過時間沒人帶位，去櫃檯問才開始知會前一輪客人離席 12:40入座還被告知菜單不夠要等，過了十分鐘後又問了一次能不能拿菜單來，店員完全沒有任何回應，叫人也當作聽不到。 這種服務品質，不用吃飯就已經足以給予一星
口味可以
餐點：4/5  |  服務：5/5  |  氣氛：4/5

